Long Term Testing Log File,,,-,2024-08-20_112311
Time,,,,,Param,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Message
,,,,,,,,,,,STARTING TEST SET 1: SET FREQ and AMP: 0
Long Term Testing Log File,,,-,2024-08-20_112345
Time,,,,,Param,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Message
,,,,,,,,,,,STARTING TEST SET 1: SET FREQ and AMP: 0
2024-08-20_1124,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1124,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1124,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1124,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1125,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1125,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
,,,,,,,,,,,STARTING TEST SET 1: SET FREQ and AMP: 1
2024-08-20_1125,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1125,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1125,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1126,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1126,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1126,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
,,,,,,,,,,,STARTING TEST SET 1: SET FREQ and AMP: 2
2024-08-20_1126,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1126,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1127,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1127,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1127,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1127,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
,,,,,,,,,,,STARTING TEST SET 2: SET FREQ and AMP: 0
2024-08-20_1127,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1128,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
2024-08-20_1128,,,,,,,,,,,SIGNAL GENERATORS ARE SETUP
